name,K_1,K_2,K_3,K_4,theta_1,theta_2
hip_flexion_r,-2.44,5.05,1.51,-21.88,-0.6981,1.81
hip_flexion_l,-2.44,5.05,1.51,-21.88,-0.6981,1.81
hip_adduction_r,-0.03,14.94,0.03,-14.94,-0.5,0.5
hip_adduction_l,-0.03,14.94,0.03,-14.94,-0.5,0.5
hip_rotation_r,-0.03,14.94,0.03,-14.94,-0.92,0.92
hip_rotation_l,-0.03,14.94,0.03,-14.94,-0.92,0.92
knee_angle_r,-6.09,33.94,11.03,-11.33,-2.4,0.13
knee_angle_l,-6.09,33.94,11.03,-11.33,-2.4,0.13
ankle_angle_r,-2.03,38.11,0.18,-12.12,-0.74,0.52
ankle_angle_l,-2.03,38.11,0.18,-12.12,-0.74,0.52
subtalar_angle_r,-60.21,16.32,60.21,-16.32,-0.65,0.65
subtalar_angle_l,-60.21,16.32,60.21,-16.32,-0.65,0.65
mtp_angle_r,-0.9,14.87,0.18,-70.08,0,1.13446401379631
mtp_angle_l,-0.9,14.87,0.18,-70.08,0,1.13446401379631
lumbar_extension,-0.35,30.72,0.25,-20.36,-0.523598775598299,0.17
lumbar_bending,-0.25,20.36,0.25,-20.36,-0.349065850398866,0.349065850398866
lumbar_rotation,-0.25,20.36,0.25,-20.36,-0.349065850398866,0.349065850398866
clav_prot_r,-10,33.3152544945194,10,-33.3152544945194,-1.0471975511966,-0.356047167406843
clav_prot_l,-10,33.3152544945194,10,-33.3152544945194,-1.0471975511966,-0.356047167406843
clav_elev_r,-10,42.2847460891978,10,-42.2847460891978,-0.188495559215388,0.356047167406843
clav_elev_l,-10,42.2847460891978,10,-42.2847460891978,-0.188495559215388,0.356047167406843
scapula_abduction_r,-10,21.9880679663828,10,-21.9880679663828,-0.795870138909414,0.251327412287183
scapula_abduction_l,-10,21.9880679663828,10,-21.9880679663828,-0.795870138909414,0.251327412287183
scapula_winging_r,-10,42.2847460891978,10,-42.2847460891978,-0.356047167406843,0.188495559215388
scapula_winging_l,-10,42.2847460891978,10,-42.2847460891978,-0.356047167406843,0.188495559215388
scapula_elevation_r,-10,68.7127123949464,10,-68.7127123949464,-0.167551608191456,0.167551608191456
scapula_elevation_l,-10,68.7127123949464,10,-68.7127123949464,-0.167551608191456,0.167551608191456
scapula_upward_rot_r,-10,13.5728814607301,10,-13.5728814607301,0.10471975511966,1.80117978805815
scapula_upward_rot_l,-10,13.5728814607301,10,-13.5728814607301,0.10471975511966,1.80117978805815
gh_ext_r,-5,19.3443413193984,5,-19.3443413193984,-0.872664625997165,1.5079644737231
gh_ext_l,-5,19.3443413193984,5,-19.3443413193984,-0.872664625997165,1.5079644737231
shoulder_elev_r,-5,21.9880679663828,5,-21.9880679663828,-0.523598775598299,1.5707963267949
shoulder_elev_l,-5,21.9880679663828,5,-21.9880679663828,-0.523598775598299,1.5707963267949
axial_rot_r,-5,18.8469153997567,5,-18.8469153997567,-0.872664625997165,1.5707963267949
axial_rot_l,-5,18.8469153997567,5,-18.8469153997567,-0.872664625997165,1.5707963267949
elbow_flexion_r,-5,20.2966781012798,5,-20.2966781012798,0,2.26892803
elbow_flexion_l,-5,20.2966781012798,5,-20.2966781012798,0,2.26892803
