name,specific_tension
glut_med1_r,0.74455
glut_med2_r,0.75395
glut_med3_r,0.75057
glut_min1_r,0.75
glut_min2_r,0.75
glut_min3_r,0.75116
semimem_r,0.62524
semiten_r,0.62121
bifemlh_r,0.62222
bifemsh_r,1.005
sar_r,0.74286
add_mag1_r,0.55217
add_mag2_r,0.55323
add_mag3_r,0.54831
tfl_r,0.75161
pect_r,0.76
grac_r,0.73636
glut_max1_r,0.75395
glut_max2_r,0.74455
glut_max3_r,0.74595
iliacus_r,1.2477
psoas_r,1.5041
quad_fem_r,0.74706
gem_r,0.74545
peri_r,0.75254
rect_fem_r,0.74936
vas_med_r,0.49961
vas_int_r,0.55263
vas_lat_r,0.50027
med_gas_r,0.69865
lat_gas_r,0.69694
soleus_r,0.62703
tib_post_r,0.6252
flex_dig_r,0.5
flex_hal_r,0.50313
tib_ant_r,0.75417
per_brev_r,0.62143
per_long_r,0.6245
per_tert_r,1
ext_dig_r,0.75294
ext_hal_r,0.73636
ercspn_r,0.25
intobl_r,0.25
extobl_r,0.25
add_long_r,0.74643
add_brev_r,0.75263
FDB_r,0.25
glut_med1_l,0.74455
glut_med2_l,0.75395
glut_med3_l,0.75057
glut_min1_l,0.75
glut_min2_l,0.75
glut_min3_l,0.75116
semimem_l,0.62524
semiten_l,0.62121
bifemlh_l,0.62222
bifemsh_l,1.005
sar_l,0.74286
add_mag1_l,0.55217
add_mag2_l,0.55323
add_mag3_l,0.54831
tfl_l,0.75161
pect_l,0.76
grac_l,0.73636
glut_max1_l,0.75395
glut_max2_l,0.74455
glut_max3_l,0.74595
iliacus_l,1.2477
psoas_l,1.5041
quad_fem_l,0.74706
gem_l,0.74545
peri_l,0.75254
rect_fem_l,0.74936
vas_med_l,0.49961
vas_int_l,0.55263
vas_lat_l,0.50027
med_gas_l,0.69865
lat_gas_l,0.69694
soleus_l,0.62703
tib_post_l,0.6252
flex_dig_l,0.5
flex_hal_l,0.50313
tib_ant_l,0.75417
per_brev_l,0.62143
per_long_l,0.6245
per_tert_l,1
ext_dig_l,0.75294
ext_hal_l,0.73636
ercspn_l,0.25
intobl_l,0.25
extobl_l,0.25
add_long_l,0.74643
add_brev_l,0.75263
FDB_l,0.25
hamstrings_r,0.62222
glut_max_r,0.74455
iliopsoas_r,1.5041
vasti_r,0.55263
gastroc_r,0.69865
hamstrings_l,0.62222
glut_max_l,0.74455
iliopsoas_l,1.5041
vasti_l,0.55263
gastroc_l,0.69865
